artist,related_artists
38 Special,"['Night Ranger', 'Eddie Money', 'Loverboy', 'Billy Squier', 'Molly Hatchet', 'Sammy Hagar', 'Foghat', 'Bad Company', 'The J. Geils Band', 'Triumph', 'Damn Yankees', 'Aldo Nova', 'Styx', 'REO Speedwagon', 'Cheap Trick', 'The Marshall Tucker Band', 'April Wine', 'Rick Springfield', 'Jefferson Starship', 'Great White']"
3LW,"['Blaque', 'Brooke Valentine', 'Nivea', 'Danity Kane', 'Cherish', 'Kandi', 'Amanda Perez', 'B2K', 'Teairra Marí', ""Lil' Mo"", 'Mýa', '702', 'LeToya', 'Paula DeAnda', 'Tiffany Evans', 'B5', 'Christina Milian', 'Tweet', 'Frankie J', 'Total']"
3rd Bass,"['MC Serch', 'Special Ed', 'Nice & Smooth', 'Chubb Rock', 'D-Nice', 'Dana Dane', 'Leaders of the New School', 'Stetsasonic', 'Three Times Dope', 'Audio Two', 'X-Clan', 'Utfo', 'Steady B', 'The Real Roxanne', 'Kool Moe Dee', 'Doug E. Fresh & The Get Fresh Crew', 'Doug E. Fresh', 'Mc Shan', 'Kool G Rap & DJ Polo', 'Rob Base & DJ EZ Rock']"
50 Cent,"['Dr. Dre', 'Snoop Dogg', 'G-Unit', 'Ice Cube', 'The Game', 'DMX', 'The Notorious B.I.G.', '2Pac', 'Eazy-E', 'Ludacris', 'Xzibit', 'N.W.A.', 'Fat Joe', 'Ja Rule', 'Busta Rhymes', 'JAY-Z', 'Nate Dogg', 'T.I.', 'D12', 'Makaveli']"
50 Foot Wave,"['Kristin Hersh', 'Tanya Donelly', 'Kelley Deal 6000', 'Fred Abong', 'Throwing Muses', 'Madder Rose', 'Belly', 'The Amps', 'Lakuna', 'R. Ring', 'Helium', 'Mary Timony', 'Blake Babies', 'Juliana Hatfield', 'Magnapop', 'Kim Deal', 'The Mary Timony Band', 'Kelley Deal', 'Sugar', 'Lisa Germano']"
6LACK,"['dvsn', 'Roy Woods', 'SiR', 'Bryson Tiller', 'PARTYNEXTDOOR', 'Tory Lanez', 'PnB Rock', 'Aminé', 'NAV', 'Miguel', 'Majid Jordan', 'EARTHGANG', 'Smino', 'GoldLink', 'Wale', 'Jacquees', 'Jeremih', 'ScHoolboy Q', 'A$AP Ferg', 'Bas']"
7 Seconds,"['Dag Nasty', 'Youth Of Today', 'Gorilla Biscuits', 'CIV', 'Uniform Choice', 'Judge', 'Warzone', ""Murphy's Law"", 'Bold', 'Better Than A Thousand', 'Chain Of Strength', 'Youth Brigade', 'JFA', 'H2O', 'Gang Green', 'Negative Approach', 'Kill Your Idols', 'Teen Idles', 'Slapshot', 'Government Issue']"
7 Year Bitch,"['Lunachicks', 'Babes In Toyland\xa0', 'Red Aunts', 'Heavens To Betsy', 'The Gits', 'Bratmobile', 'Slant 6', 'Excuse 17', 'L7', 'Betty Blowtorch', 'Partyline', 'Huggy Bear', 'Daisy Chainsaw', 'Skinny Girl Diet', 'The Julie Ruin', 'Team Dresch', 'Bikini Kill', 'Voodoo Queens', 'Katastrophy Wife', 'Veruca Salt']"
808 State,"['The Shamen', 'LFO', 'Utah Saints', 'Altern 8', 'The Orb', 'The Future Sound Of London', 'Orbital', 'Bomb The Bass', 'The KLF', 'Leftfield', 'System 7', 'Adamski', ""S'Express"", 'A Guy Called Gerald', 'SL2', 'The Sabres Of Paradise', 'K-Klass', 'Meat Beat Manifesto', 'Shades of Rhythm', 'N Joi']"
9 Lazy 9,"['Funki Porcini', 'Up, Bustle & Out', 'London Funk Allstars', 'DJ Food', 'Hexstatic', 'Dynamic Syncopation', 'The Dining Rooms', 'Jon Kennedy', 'TM Juke', 'Cujo', 'DJ Cam', 'The Herbaliser', 'A Forest Mighty Black', 'Beanfield', 'Boozoo Bajou', 'Animals on Wheels', 'Fila Brazillia', 'Red Snapper', 'The Clifford Gilberto Rhythm Combination', 'Tosca']"
999,"['The Lurkers', 'Chelsea', 'Slaughter & The Dogs', 'The Vibrators', 'The Adverts', 'The Ruts', 'Penetration', 'The Members', 'Angelic Upstarts', 'The Rezillos', 'Chron Gen', 'U.K. Subs', 'The Boys', 'Peter and the Test Tube Babies', 'Anti-Pasti', 'Sham 69', 'Eddie & The Hot Rods', 'Vice Squad', 'Abrasive Wheels', 'Infa Riot']"
9th Wonder,"['Little Brother', 'Phonte', 'Rapper Big Pooh', 'Hi-Tek', 'Elzhi', 'Skyzoo', 'Black Milk', 'Planet Asia', 'Kev Brown', 'Statik Selektah', 'Blu', 'Jaylib', 'The Foreign Exchange', 'Slum Village', 'Reflection Eternal', 'Large Professor', 'Jay Dee', 'Pete Rock', 'Blu & Exile', 'Sean Price']"
:Wumpscut:,"['Funker Vogt', 'Velvet Acid Christ', 'Feindflug', 'Suicide Commando', '[:SITD:]', 'Tactical Sekt', 'Leæther Strip', 'God Module', 'Icon Of Coil', 'Haujobb', 'Grendel', 'Decoded Feedback', 'Das Ich', 'Rotersand', 'In Strict Confidence', 'Agonoize', 'Noisuf-X', 'Wynardtage', 'Assemblage 23', 'Project Pitchfork']"
? & The Mysterians,"['The Standells', 'The Shadows Of Knight', 'Count Five', 'The Blues Magoos', 'The Music Machine', 'The Seeds', 'Sam The Sham & The Pharaohs', 'Syndicate Of Sound', 'The Knickerbockers', 'The Barbarians', 'The Beau Brummels', 'The Remains', 'The Chocolate Watchband', 'The Electric Prunes', 'The Human Beinz', 'The Litter', 'The Five Americans', 'The Kingsmen', 'The McCoys', 'The Strangeloves']"
A Certain Ratio,"['Section 25', '23 Skidoo', 'Josef K', 'Crispy Ambulance', 'The Pop Group', 'Cabaret Voltaire', 'Au Pairs', 'Magazine', 'The Durutti Column', 'The Monochrome Set', 'Maximum Joy', 'Liquid Liquid', 'Young Marble Giants', 'Pere Ubu', 'Colin Newman', 'The Fall', 'Bush Tetras', 'Swell Maps', 'Chris & Cosey', 'Eyeless In Gaza']"
A Flock Of Seagulls,"['Men Without Hats', 'Thompson Twins', 'Wang Chung', 'The Fixx', 'Modern English', ""'Til Tuesday"", 'Naked Eyes', 'The Human League', 'Adam Ant', 'Soft Cell', 'Missing Persons', 'Thomas Dolby', 'Howard Jones', 'Kajagoogoo', 'ABC', 'Berlin', 'Dead Or Alive', 'Adam & The Ants', 'The Motels', 'Orchestral Manoeuvres In The Dark']"
